category,filename,full_path
women_leaders," When she’s the CEO, get ready for endless drama disguised as ‘leadership challenges.’.jpeg","/Users/jyotiradityachopra/Desktop/new major proect/women_leadership_memes/ When she’s the CEO, get ready for endless drama disguised as ‘leadership challenges.’.jpeg"
women_leaders," When she leads, every decision takes longer than a Netflix series..jpeg","/Users/jyotiradityachopra/Desktop/new major proect/women_leadership_memes/ When she leads, every decision takes longer than a Netflix series..jpeg"
women_leaders," If she’s at the helm, you can bet the ship will sink before it sails.jpeg","/Users/jyotiradityachopra/Desktop/new major proect/women_leadership_memes/ If she’s at the helm, you can bet the ship will sink before it sails.jpeg"
women_leaders, Women in leadership turning boardrooms into book clubs since forever..jpeg,/Users/jyotiradityachopra/Desktop/new major proect/women_leadership_memes/ Women in leadership turning boardrooms into book clubs since forever..jpeg
women_leaders," When she’s leading, it’s a sure bet that common sense goes out the window.jpeg","/Users/jyotiradityachopra/Desktop/new major proect/women_leadership_memes/ When she’s leading, it’s a sure bet that common sense goes out the window.jpeg"
women_leaders," Oh, she’s a CEO Just wait until you see her cry over a minor setback.jpeg","/Users/jyotiradityachopra/Desktop/new major proect/women_leadership_memes/ Oh, she’s a CEO Just wait until you see her cry over a minor setback.jpeg"
women_leaders," Oh, a woman’s in charge Time to roll your eyes and hold your breath.jpeg","/Users/jyotiradityachopra/Desktop/new major proect/women_leadership_memes/ Oh, a woman’s in charge Time to roll your eyes and hold your breath.jpeg"
women_leaders," When she’s in charge, expect a lot of ‘we’re in this together’ speeches, right before she throws you under the bus.jpeg","/Users/jyotiradityachopra/Desktop/new major proect/women_leadership_memes/ When she’s in charge, expect a lot of ‘we’re in this together’ speeches, right before she throws you under the bus.jpeg"
women_leaders," When she’s the boss, the only thing being managed is her ego.jpeg","/Users/jyotiradityachopra/Desktop/new major proect/women_leadership_memes/ When she’s the boss, the only thing being managed is her ego.jpeg"
women_leaders, A female leader Perfect! Time to embrace chaos and confusion.jpeg,/Users/jyotiradityachopra/Desktop/new major proect/women_leadership_memes/ A female leader Perfect! Time to embrace chaos and confusion.jpeg
